Frage ,Bewertung
"Liebes Sympany Team, was zahlt ihr an ein Fitness Abo?",1
"Liebes Sympany Team, was zahlt ihr an ein Fitness Abo?",1
Ich bin in einem Sportverein. Zahl die Sympany hier etwas?,0
Ich bin Brillenträger. Zahlt ihr etwas an meine Brille?,1
Kann ich die Brille im Ausland beziehen?,1
"Hallo Sympany, ich habe demnächst einen Spitalaufenthalt. Wie sieht eure Kostenbeteiligung aus?",0
Ich hatte einen Spitalaufenthalt und muss jetzt in die Reha. Was zahlt Sympany für einen Beitrag?,1
Aufgrund eines Spitalaufenthalt benötige ich Unterstützung im die Kostenbeteiligung von Sympany aus? ,1
Ich habe einen Zahnversicherung bei der Sympany. Was zahlt ihr alles daraus?,1
Zahlt ihr eine Physiotherapie?,1
Ich gehe in die Ferien. Wie bin ich versichert? Muss ich zusätzlich etwas abschliessen?,1
Ist Physiotherapie durch die Grundversicherung abgedeckt?,1
Erklären Sie mir bitte die Leistungsabrechnung? Weshalb muss ich die Arztkosten übernehmen? ,0
Warum habe ich einen Verstossbrief erhalten?,0
Bezahlt meine ambulante Zusatzversicherung die klassische Massage?,1
"Ich benötige ein Hörgerät, wird ein Teil von der Versicherung übernommen? ",1
"Heute habe die rechnug bekomen von 2.849.60fr und das ist unmöglich auf einmal zu zahlen. Können wir einen weg finden raten zahlen?
können wir ein weg finden raten zahlen ? ",1
Ich habe eine Rechnung über 35 Fr. von Frau Carla Wullschleger bei der St Peter Apotheke eingereicht. Leider habe ich dafür keine Rückerstattzng bekommen. Gemäss Zusatzversicherung müsste ich jedoch 50% bekommen da Frau Wullschleger auf ihrer Homepage als anerkannte Therapeutin aufgeführt ist und ich deshalb auch zu ihr gegangen bin. Sie hat mir danach auch die natürlichen Heilmittel inkl. Homöopathie verschrieben. ,1
"Ich muss sicherheitshalber nochmals nachfragen. Wäre auch die Biodynamische Therapie von meiner Zusatzversicherung gedeckt? Das wäre eventuell auch eine Behandlungsmethode, welche für mich geeignet wäre.",1
Auf der letzten Rechnung von 5.60 Fr. Fehlt der QR Code.?( ,1
Die oben erwähnte Leistungsabrechnung betrifft Schwangerschaft und nicht Krankheit. Gemäss KVG Art. 29 dürfen währen der Schwangerschaft kein Selbstbehalt oder Franchise verrechnet werden. Bitte korrigieren Sie die Rechnung.,1
"Ich habe eine Leistungsabrechnung bekommen für die Behandlung am 6.3.23 wegen Krankheit bei Herrn Walter Schneider. An diesem Termin war ich weder dort, noch wurde behandelt. Bitte um Klärung.",0
"Ich bin mir nicht sicher und wollte gerne nachfragen ob ich in meiner KKV oder VVg eine Chiropraktiker und deren Medizinischen Massagen ind meiner Versicherung inbegriffen habe. Es ist jetzt leider so das ich dies in Anspruch nehmen muss. Es wäre für die Praxis Beglinger/Hungebuehler 
Bahnhofstrasse.61
3400 Burgdorf Meine Kundennummer 
202726412 
Witschi Tamara
Oberburgstrasse.37
3400 Burgdorf ",1
"Information an sympany von Markus Roland Studer
Ich darf sie dahingehend orientieren, als dass ich am Freitag, 24.03.2023, 11:00 Uhr zur Vorsorge-Untersuchung Endoskopie im Spital Bülach, in Absprache mit meinem Hausarzt Dr. med. Koch Ärztezentrum Niederweningen, aufgeboten bin.
Für ihre dauernde tadellose Arbeit danke ich herzlich.",1
"Guten Tag
Ich wollte mich erkundigen wegen der letzten Rechnung von leonora greco
Es sind 2 mal die gleichen Beträge, ist das ein Fehler oder sind das 2 Rechnungen mit der selben Summe?",1
"Wie kann ich eine Rückerstattung fürs Fitnessabo anfordern?
Freundliche Grüsse",1
ich habe eben ihren Brief zu meinem angeblichen Nicht-Einhalten des vorgesehenen Behandlungsweg erhalten. Ich habe sie im September über den Wechsel der HMO Praxis informiert und eine Bestätigung ihrer Mitarbeiterin erhalten. Inwiefern habe ich mich also nicht an den Behandlungsweg gehalten?,1
"Guten Tag, mich interessiert, wie viel Sie für eine Brille bezahlen, und wenn das jedes Jahr oder jedes zweite Jahr so ist, vielen Dank, Fam. Zejnić",1
"Guten Tag
Ich habe einen genetisch bedingten Hörverlust und habe deshalb seit einigen Jahren Hörgeräte.
Nun müssen diese erneuert werden. Die IV bezahlt die Kontrolle beim HNO-Arzt.
Nun muss ich in drei Monaten noch eine Nachkontrolle bei Prof. Dr. M. Maassen in Luzern machen.
Ich bin seit vielen Jahren bei diesem HNO-Arzt, auch wurde ich schon 2020 von meinem Hausarzt Dr. Markus Dahinden in Luzern an ihn überwiesen.
Braucht es für diesen Kontrolluntersuch (Hörttest mit und ohne Hörgeräte) wieder eine Ueberweisungsbestätigung des Hausarztes?
Besten Dank für Ihre Auskunft.
Freundliche Grüsse",0
"Kann ich, wenn ich älter als 65 Jahre alt bin ein premium oder plus Angebot abschliessen?",1
Kann ich auch im Ausland bei euch versichert sein?,1
Was ist das KVG?,1
Kann ich mit einem premium Paket gratis Sprechstunden mit Ärzten haben? Wenn ja wie viele?,0
Ich war im Ausland und habe eine Rechnung von 300 Euro wie viel wird übernommen?,1
Was genau habe ich mit eiiner globalen Versicherung inbegriffen?,1
Ich musste notfallmässig zum im Ausland Arzt. Dies kostete mich 250 CHF. Was wird davon übernommen?,1
"Wie lange sind die Leistungen von plus oder premium Zusatzversicherungen verfügbar, wenn ich eine chronische Erkrankung habe, die langfristige Behandlungen erfordert?",1
"Wie lange kann ich die Leistungen von plus oder premium Zusatzversicherungen in Anspruch nehmen, wenn ich eine Operation im Ausland benötige?",1
"Wie lange sind die Leistungen von plus oder premium Zusatzversicherungen verfügbar, wenn ich eine kurzfristige medizinische Behandlung im Ausland benötige?",1
"Wie lange kann ich die Leistungen von plus oder premium Zusatzversicherungen in Anspruch nehmen, wenn ich eine Schwangerschaft verlängert habe und Komplikationen auftreten?",1
"Wie lange sind die Leistungen von plus oder premium Zusatzversicherungen verfügbar, wenn ich an einer psychischen Erkrankung leide, die langfristige Behandlungen erfordert?",1
Welche Impfungen werden von der Zusatzversicherung bezahlt und bis zu welchem Betrag pro Kalenderjahr?,1
Werden auch Reiseimpfungen von der Zusatzversicherung bezahlt?,1
Werden auch Impfungen gegen COVID-19 von der Zusatzversicherung bezahlt?,0
Werden auch Impfungen für Kinder von der Zusatzversicherung bezahlt?,1
"Werden auch Impfungen bezahlt, die noch im Forschungsstadium sind?",1
"Wie viel zahlt die Zusatzversicherung bei einer Check-up-Untersuchung, wenn man die Versicherungsoption ""plus"" gewählt hat und die Kosten CHF 400.- betragen?",1
"Wie viel zahlt die Zusatzversicherung bei einer Check-up-Untersuchung, wenn man die Versicherungsoption ""premium"" gewählt hat und die Kosten CHF 800.- betragen?",1
Kann man auch mehr als eine Check-up-Untersuchung pro Kalenderjahr durchführen lassen und trotzdem eine Kostenerstattung von der Zusatzversicherung erhalten?,1
"Ich habe in diesem Kalenderjahr bereits eine gynäkologische Vorsorgeuntersuchung durchgeführt, jedoch war diese nicht zum KVG-Tarif. Werden die Kosten meiner nächsten Vorsorgeuntersuchung trotzdem von der KVG-Versicherung übernommen?",1
"Ich habe in diesem Kalenderjahr bereits eine gynäkologische Vorsorgeuntersuchung zum KVG-Tarif durchgeführt, jedoch wurde ein Auffälligkeit festgestellt und weitere Untersuchungen sind notwendig. Werden die Kosten dieser weiteren Untersuchungen auch von der KVG-Versicherung übernommen?",0
"Ich habe eine private Krankenversicherung, die auch gynäkologische Vorsorgeuntersuchungen abdeckt. Werden die Kosten meiner nächsten Vorsorgeuntersuchung von der KVG-Versicherung übernommen?",1
Ich habe bereits einen Geburtsvorbereitungskurs besucht und die Kosten von CHF 200.- wurden bereits erstattet. Darf ich noch einen weiteren Kurs besuchen und werden die Kosten dafür ebenfalls übernommen?,1
Ich habe einen Geburtsvorbereitungskurs bei einer qualifizierten Fachperson besucht und die Kosten betrugen CHF 250.-. Werden trotzdem maximal nur CHF 200.- erstattet oder kann ich die vollen Kosten zurückfordern?,1
"Was passiert, wenn die versicherte Mutter aus medizinischen Gründen nicht stillen kann, obwohl sie es gerne tun würde?",0
"Was passiert, wenn die versicherte Mutter beschließt, das Stillen vor Ablauf der 10 Wochen zu beenden?",0
Kann der Versicherungsnehmer die Kosten für einen Kurs zur Erlernung gesundheitsfördernden Verhaltens auch rückwirkend einreichen?,1
"Was passiert, wenn ein Kurs, der zuvor auf der Liste der anerkannten Kurse stand, plötzlich entfernt wird?",1
Kann ein Versicherungsnehmer die Kosten für mehrere Kurse zur Erlernung gesundheitsfördernden Verhaltens geltend machen?,1
"Kann ein Versicherungsnehmer die Kosten für eine Präventivmassnahme geltend machen, die nicht auf der Liste der anerkannten Institutionen steht?",1
"Was passiert, wenn ein Versicherungsnehmer im Laufe des Jahres mehrere Präventivmassnahmen absolviert, die in unterschiedlichen Kostenkategorien liegen?",1
Mein Kind ist Brillenträger. Zahlt ihr etwas an seine Brille?,1
Ich habe eine Brille CHF 330 bezahlt. Können Sie mir einen Teil davon zurückzahlen?,1
"Gibt es eine Möglichkeit, einen Teil der Kosten für meine Brille in Höhe von CHF 330 zurückerstattet zu bekommen?",1
"Ist es möglich, dass ich für den Kauf meiner Brille in Höhe von CHF 330 eine Teilrückerstattung erhalte?",1
Was sind anerkannte Hilfsmitteln?,1
Unter welcher Voraussetzung werden die Kosten für Hilfsmitteln vergütet?,1
In welcher Höhe werden die Kosten für Hilfmitteln vergütet?,1
Wie hoch ist die Vergütung für Hilfsmittel?,1
Wie viel Geld bekommt man für die Verwendung von Hilfsmitteln erstattet?,1
Gibt es Einschränkungen oder Begrenzungen in Bezug auf die Abdeckung von Hilfsmitteln?,1
Wie oft kann ich Hilfsmittel im Rahmen meiner Versicherungsleistungen beantragen?,1
Kann ich eine Vorauszahlung für Hilfsmittel beantragen oder muss ich diese zuerst selbst bezahlen und dann eine Rückerstattung beantragen?,1
"Gibt es spezielle Anforderungen für den Kauf von Hilfsmitteln, wie z.B. einen spezifischen Lieferanten oder eine Genehmigung durch den Arzt?",1
Werden die Kosten für Reparaturen von Hilfsmitteln von euch übernommen?,1
"Werden die Kosten für die Entfernung von Weisheitszähne
n von euch abgedeckt?",1
Gibt es Einschränkungen oder Begrenzungen bei der Abdeckung von Weisheitszähnen?,0
"Werden die Kosten für die Entfernung von Weisheitszähnen
 vollständig oder nur teilweise erstattet?",1
"Ist eine ärztliche Empfehlung oder eine Genehmigung erforderlich, um die Kosten für die Entfernung von Weisheitszähnen von euch abdecken zu lassen?",1
"Gibt es spezielle Anforderungen oder Einschränkungen in Bezug auf den Zeitpunkt der Entfernung von Weisheitszähnen, um von euch abgedeckt zu werden?",0
Ich war beim Zahnarzt und musste Röntgenaufnahmen machen. Werden diese Kosten von Ihnen übernommen?,1
Werden die Kosten für meine Zahnspangen von der Sympany abgedeckt?,0
Werden die Kosten für meinen unsichtbaren Aligner übernommen?,0
Welche kieferorthopädischen Behandlungen sind von der Sympany abgedeckt?,0
Gibt es Einschränkungen oder Begrenzungen in Bezug auf die Abdeckung von kieferorthopädischen Behandlungen durch die Sympany?,1
"Was muss ich tun, um sicherzustellen, dass meine kieferorthopädische Behandlung von der Sympany abgedeckt wird?",1
"Gibt es spezielle Anforderungen oder Einschränkungen hinsichtlich des Alters oder des Schweregrads der Fehlstellung, um von der Sympany abgedeckt zu werden?",1
"Ich bin 34 Jahre alt und benötige eine Kieferoperation und anschliessend eine kieferorthopädische Behandlung, um eine schwerwiegende Fehlstellung zu korrigieren. Werden die Kosten in Höhe von CHF 15'000 für die Kieferoperation von der Sympany übernommen?",1
"Ich bin 34 Jahre alt und benötige eine Kieferoperation und anschliessend eine kieferorthopädische Behandlung, um eine schwerwiegende Fehlstellung zu korrigieren. Werden die Kosten für die Kieferoperation von euch übernommen?",1
Werden die Kosten für die anschliessende kieferorthopädische Behandlung von der Versicherung abgedeckt?,1
"Muss ich eine Genehmigung von der Versicherung einholen, bevor ich mit der Behandlung beginnen kann?",1
"Max, 28 Jahre alt, benötigt einen unsichtbaren Aligner, um eine leichte Fehlstellung zu korrigieren. Werden die Kosten für den unsichtbaren Aligner von Ihnen übernommen?",1
"Gibt es spezielle Anforderungen oder Einschränkungen hinsichtlich des Alters oder des Schweregrads der Fehlstellung, um von der Versicherung abgedeckt zu werden?",1
Max hat CHF 2000 bezahlt. Wird ein Teil davon zurückerstattet werden?,1
Max hat CHF 12000 bezahlt. Wird ein Teil davon zurückerstattet werden?,1
"Kann Max eine Teilrückerstattung für den unsichtbaren Aligner beantragen, falls die Kosten nicht vollständig von der Versicherung übernommen werden?",1
"Sarah, 13 Jahre alt, benötigt eine feste Zahnspange, um eine moderate Fehlstellung zu korrigieren. Werden die Kosten für die feste Zahnspange von der Versicherung übernommen?",1
"Sarah, 13 Jahre alt, benötigt eine feste Zahnspange, um eine schwerwiegende Fehlstellung zu korrigieren. Werden die Kosten für die feste Zahnspange von der Versicherung übernommen?",1
Wie viel der Kosten wird von euch abgedeckt?,1
Wir haben CHF 7000 gezahlt. Wie viel wird von der Sympany zurückgezahlt?,1
Gibt es Einschränkungen oder Begrenzungen hinsichtlich der Abdeckung von Zahnarztbehandlungen im Ausland durch die Versicherung?,1
Benötigt der Kunde vor der Zahnarztbehandlung im Ausland eine spezielle Genehmigung von der Versicherung und wie geht er dabei vor?,1
"Mein Zahnartzt hat kein Diplom. 
Werden die Kosten für meine Behandlung von der Sympany übernommen?",1
"Was passiert, wenn ein Patient im Laufe des Jahres mehr als CHF 10'000 für alternative Behandlungen ausgibt?",1
"Was passiert, wenn ein Patient im Laufe des Jahres nur CHF 1'000 für alternative Behandlungen ausgibt?",1
"Wie kann ein Patient herausfinden, ob die von ihm gewünschte alternative Behandlung von der Krankenversicherung vergütet wird?",1
"Was passiert, wenn eine alternative Behandlungsmethode, die der Patient in Anspruch nehmen möchte, nicht in der Liste der anerkannten Methoden enthalten ist?",1
"Was passiert, wenn eine Therapeutin oder ein Therapeut, die/den der Patient für seine alternative Behandlung auswählt, nicht vom Versicherer anerkannt ist?",1
"Gibt es eine Begrenzung für die Anzahl der Therapiesitzungen, die von der Krankenversicherung für alternative Behandlungsmethoden bezahlt werden?",1
"Mein Arzt in der Schweiz hat mir eine alternativmedizinische Behandlung empfohlen, die in Deutschland angeboten wird. Werden die Kosten von meiner Krankenkasse übernommen?",1
"Ich habe eine alternative Heilmethode in Österreich gefunden, die in der Schweiz nicht verfügbar ist. Werden die Kosten von meiner Krankenkasse übernommen, wenn ich mich dort behandeln lasse?",1
" Ich benötige ein homöopathisches Heilmittel für meine Erkältung, das nicht von der Grundversicherung abgedeckt ist. Kann ich eine Erstattung für die Kosten von meiner Krankenversicherung mit plus natura oder premium natura erhalten?",1
"Ich habe mehrere alternativmedizinische Behandlungen im letzten Jahr in Anspruch genommen und möchte nun eine weitere Behandlung erhalten. Gibt es eine Beschränkung für die Anzahl der alternativmedizinischen Behandlungen, die ich pro Kalenderjahr in Anspruch nehmen kann?",1
"Ich benötige eine Alternative zur Schulmedizin, um meine Schmerzen zu lindern. Gibt es eine Begrenzung für die Anzahl der Therapiesitzungen, die ich von meiner Zusatzversicherung bezahlt bekomme?",1
"Kann ich eine Therapeutin oder einen Therapeuten meiner Wahl wählen, um die Leistungen im Bereich Alternativmedizin in Anspruch zu nehmen?",1
"Kann ich eine alternative Therapie beginnen, ohne dies vorher meinem Versicherer mitzuteilen?",1
"Ich habe einen alternativen Therapeuten gefunden, der nicht auf der Liste des Versicherers steht. Kann ich dennoch eine Erstattung von meiner Zusatzversicherung erhalten?",1
"Ich habe eine seltene Krankheit und benötige ein spezielles Medikament, das vom Schweizerischen Heilmittelinstitut zugelassen ist, aber nicht in der Arzneimittelliste mit Tarif aufgeführt ist. Kann ich eine Kostenbeteiligung von meinem Versicherer erwarten?",1
" Ich benötige ein nicht verschreibungspflichtiges Medikament für eine Erkrankung, die nicht in der Negativliste des Versicherers enthalten ist. Wird eine Kostenbeteiligung geleistet?",1
Mein Arzt hat mir wegen meiner chronischen Rückenschmerzen einen Besuch in einem Thermalbad verschrieben. Wie viele Eintritte werden von meinem Versicherer bezahlt?,1
"Ich möchte aus eigener Initiative ein Thermalbad besuchen, um mich zu entspannen. Wird ein Beitrag von meinem Versicherer geleistet?",1
In welchem Umfang übernimmt meine Versicherung die Kosten für eine psychotherapeutische Behandlung?,1
Welche Leistungen sind bei meiner Versicherung im Bereich der Psychotherapie abgedeckt?,1
Werden von meiner Versicherung Kosten in Höhe von CHF 1500 für eine Psychotherapie-Behandlung erstattet oder übernommen?,"1
"
"Welche Leistungsvoraussetzungen müssen erfüllt sein, damit meine Versicherung die Kosten für eine Psychotherapie-Behandlung übernimmt oder erstattet?",1
Deckt meine Versicherung auch die Kosten für eine psychotherapeutische Behandlung im Ausland ab?,1
Werden die Kosten für Life-Coaching-Sitzungen von meiner Versicherung übernommen oder erstattet?,1
Deckt meine Versicherung die Kosten für Karriereberatung und -planung ab?,1
Werden die Kosten für einen medizinisch notwendigen Notfalltransport ins Spital von meiner Versicherung übernommen?,1
Unter welchen Bedingungen werden die Transportkosten für Luftfahrzeuge von meiner Versicherung übernommen?,1
"Wie hoch ist der maximale Betrag, den die Sympany für Fahrtspesen bei regelmässigen Behandlungen ausserhalb des Wohnortes erstattet?",1
Werden die Kosten für Rettungsaktionen in den Bergen von meiner Versicherung abgedeckt oder erstattet?,1
"Werden die Kosten für Rettungsaktionen in den Bergen von meiner Versicherung abgedeckt oder erstattet, und falls ja, bis zu welchem Betrag - beispielsweise bis zu CHF 170'000?",1
"Deckt die Sympany als Teil des Plus-Pakets die Fahrtkosten für ärztliche Behandlungen mit dem Bus ab und wenn ja, bis zu welchem maximalen Betrag pro Jahr?",1